mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,average_voltage,capacity_grav,energy_grav,max_delta_volume,stability_charge,stability_discharge,mp_preliminary_score,final_decision_support_score,conservative_earth_abundant_candidate,cde_exact_formula_match,cde_total_doi_count,evidence_class
11,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,2.745589469051722,243.81248636564385,669.4089949888283,0.075649825346243,0.013758580833332,0.0,0.8141454489984904,0.8567424697913396,True,True,2166.0,Conservative + exact CDE evidence
0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,3.864972674676721,249.4468036394037,964.105079851745,0.286561754856125,0.035307653035705,0.0,0.9096583254973232,0.8259608168488167,True,True,38.0,Conservative + exact CDE evidence
1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,4.05877872905172,195.018501417946,791.536945326702,0.123101178662976,0.072622637499999,0.000365394166674,0.8950301450792766,0.8096043412906434,True,True,28.0,Conservative + exact CDE evidence
3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,3.369558361551721,192.2027348596324,647.6383323593827,0.073265602924694,0.0,0.0,0.8771176727260567,0.7979612342610505,True,True,28.0,Conservative + exact CDE evidence
27,Na0-0.5MnO2,NaMn2O4,MnO2,transition_metal_oxide_like,3.183568416551725,136.1424880137049,433.4189249912029,0.136504197715484,0.025369589583334,0.0,0.7138101042347266,0.7907213616242298,True,True,2092.0,Conservative + exact CDE evidence
22,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,3.072423191551724,154.2033123226646,473.77783299424846,0.169555702732158,0.029870462083334,0.0,0.7353076126990036,0.7764602307369811,True,True,616.0,Conservative + exact CDE evidence
13,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,3.387073626551728,155.01219683059955,525.0377236787692,0.173844509338984,0.002636648750002,0.0,0.8052903910538367,0.7512735011741075,True,True,28.0,Conservative + exact CDE evidence
7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,3.443899664051723,191.5797090750565,659.781295722714,0.010974811361596,0.040621705954548,0.0,0.8533846047688798,0.7496795350712526,True,True,6.0,Conservative + exact CDE evidence
26,Na0-0.67MnPO4,Na2Mn3(PO4)3,MnPO4,phosphate_or_NASICON_like,3.672976751551715,108.13420055862515,397.17440469946064,0.078330807825624,0.024829921666668,0.0,0.7161365393268234,0.6898927821853406,True,True,24.0,Conservative + exact CDE evidence
8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,3.827826506551719,147.6607610751055,565.2197752208892,0.119355330983493,0.005488272083333,0.027282932857144,0.8351537999327628,0.668244296396559,True,True,2.0,Conservative + exact CDE evidence
46,Na0.33-0.67FePO4,Na2Fe3(PO4)3,FePO4,phosphate_or_NASICON_like,3.751246721551734,53.771954146942406,201.71186670514783,0.039539820351895,0.055010509824554,0.009357669208315,0.568269596596712,0.6449752440568465,True,True,228.0,Conservative + exact CDE evidence
37,Na0-3Ti2(PO4)3,Na3Ti2(PO4)3,Ti2(PO4)3,phosphate_or_NASICON_like,2.3060194632183992,178.82858745608107,412.38220325357656,0.117365215997587,0.013037193112749,0.057148416293324,0.6485903963198101,0.6270108959669684,True,True,10.0,Conservative + exact CDE evidence
2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,4.100874681551726,208.58069746847025,855.3633013088498,0.21292472878333,0.087316613750001,0.036719868750002,0.8943338519316928,0.6813170037556003,True,False,,"Conservative, computational support only"
4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,3.956551765301722,219.4310432592394,868.1902815693422,0.036937405438655,0.096099300980394,0.018703343928559,0.8735345290380784,0.6677974438747509,True,False,,"Conservative, computational support only"
5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,3.892605436551723,207.847172023377,809.0670317900984,0.128771071377676,0.089343333416668,0.03586537833334,0.8720920797534493,0.6668598518397421,True,False,,"Conservative, computational support only"
6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,3.904088337801721,183.03058987831173,714.5675914048866,0.034428311613011,0.083436778400001,0.0,0.8565764519385447,0.656774693760054,True,False,,"Conservative, computational support only"
9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,3.469875774885057,235.5697164078063,817.3976522599902,0.14024297968184,0.094573069673917,0.085801139051721,0.8258824715084657,0.6368236064805027,True,False,,"Conservative, computational support only"
10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,3.611596209885063,150.3489705497081,542.9997721974468,0.056828403091353,0.019132283636364,0.004037091200013,0.8156755100103198,0.6301890815067078,True,False,,"Conservative, computational support only"
16,Na0-6Cu9(PO4)8,Na6Cu9(PO4)8,Cu9(PO4)8,phosphate_or_NASICON_like,4.016838964885053,109.42182510972124,439.529850709566,0.070111260876353,0.013042322500012,0.003629260727278,0.7751017471610744,0.6038161356546984,True,False,,"Conservative, computational support only"
17,Na0-8Fe7(PO4)8,Na8Fe7(PO4)8,Fe7(PO4)8,phosphate_or_NASICON_like,3.417543051551721,160.65577586427503,549.0480304966038,0.114182437857771,0.090302505354612,0.061339868318195,0.7577204280877693,0.5925182782570501,True,False,,"Conservative, computational support only"
18,Na1-2CuP2O7,Na2CuP2O7,CuP2O7,phosphate_or_NASICON_like,4.083998061551728,94.54823680922271,386.13481585199935,0.029615707794994,0.0,0.0,0.7552596878159573,0.5909187970803723,True,False,,"Conservative, computational support only"
20,Na1-3CuCSO7,Na3CuCSO7,CuCSO7,sulfate_like,2.9306589190517203,185.74294054510847,544.3492053594156,0.009740201868946,0.029455655833332,0.089562225192304,0.7395104585597987,0.5806817980638692,True,False,,"Conservative, computational support only"
21,Na1-2MnPCO7,Na2MnPCO7,MnPCO7,phosphate_or_NASICON_like,3.877459166551734,104.73507929194264,406.1059932600657,0.051845981444865,0.019404587272727,0.009306686666667,0.7394151822587722,0.580619868468202,True,False,,"Conservative, computational support only"
28,Na0-1Mn(PO3)3,NaMn(PO3)3,Mn(PO3)3,phosphate_or_NASICON_like,3.951715941551714,85.12630591473967,336.3949801286848,0.100132211014461,0.010715820064102,0.005075775357141,0.7055491062796463,0.5586069190817701,True,False,,"Conservative, computational support only"
29,Na2-3FeSiCO7,Na3FeSiCO7,FeSiCO7,silicate_like,3.868105926551724,96.78898741754244,374.3900558547362,0.013881350875249,0.044322769618057,0.0,0.6993340833098758,0.5545671541514193,True,False,,"Conservative, computational support only"
30,Na3-6Fe2P(CO4)4,Na6Fe2P(CO4)4,Fe2P(CO4)4,phosphate_or_NASICON_like,3.359924674885058,137.5291660407657,462.0876384967329,0.09467806839956,0.088606300096156,0.077350134166667,0.6953600652140908,0.551984042389159,True,False,,"Conservative, computational support only"
31,Na4-6Mn2C4SO16,Na6Mn2C4SO16,Mn2C4SO16,sulfate_like,3.737696424051723,91.7995847827752,343.11897977201187,0.031714388718323,0.029121994876541,0.0,0.6810109774976749,0.5426571353734887,True,False,,"Conservative, computational support only"
32,Na4-6Mn2P(CO4)4,Na6Mn2P(CO4)4,Mn2P(CO4)4,phosphate_or_NASICON_like,3.8806216990517193,91.97146445172773,356.9064606449384,0.032467488275242,0.074162639978776,0.024801718304598,0.666332756340385,0.5331162916212503,True,False,,"Conservative, computational support only"
33,Na2-3FeBPO7,Na3FeBPO7,FeBPO7,phosphate_or_NASICON_like,3.662467991551725,96.20234988805166,352.3380271770489,0.015524595118022,0.055398535642364,0.023322315618129,0.6623774380985828,0.5305453347640788,True,False,,"Conservative, computational support only"
34,Na2-3MnBPO7,Na3MnBPO7,MnBPO7,phosphate_or_NASICON_like,3.668716216551733,96.51655586382483,354.0918536633354,0.035911391000941,0.069957487617182,0.007923116267154,0.6530349294210951,0.5244727041237118,True,False,,"Conservative, computational support only"
35,Na4-6Cu2C4SO16,Na6Cu2C4SO16,Cu2C4SO16,sulfate_like,3.7011811090517353,89.17050870384884,330.03620229921864,0.024367675293018,0.051603475370368,0.043552051896552,0.6528602480961652,0.5243591612625074,True,False,,"Conservative, computational support only"
36,Na2-3CuPCO7,Na3CuPCO7,CuPCO7,phosphate_or_NASICON_like,3.362398286551713,93.22397962611988,313.45614936039726,0.036124648692496,0.0,0.008190581250002,0.6510670945595866,0.5231936114637313,True,False,,"Conservative, computational support only"
38,Na0-1Mn(GeO3)2,NaMn(GeO3)2,Mn(GeO3)2,transition_metal_oxide_like,3.954146031551719,83.96343139083412,332.0036690295318,0.084264456293662,0.083475350648149,0.010586401148833,0.6483249385137463,0.5214112100339351,True,False,,"Conservative, computational support only"
39,Na0-2Ti3Fe(PO4)6,Na2Ti3Fe(PO4)6,Ti3Fe(PO4)6,phosphate_or_NASICON_like,4.137728261551732,65.75003780590923,272.05578962760546,0.021845213696363,0.036345302365203,0.055773818749994,0.6447879660421456,0.5191121779273946,True,False,,"Conservative, computational support only"
40,Na0-9Mn21O40,Na9Mn21O40,Mn21O40,transition_metal_oxide_like,3.038901614329503,120.57152648054058,366.4050064638872,0.138812404363838,0.04366786043033,0.032410653089287,0.6438151608600527,0.5184798545590343,True,False,,"Conservative, computational support only"
41,Na2-3MnSiCO7,Na3MnSiCO7,MnSiCO7,silicate_like,3.170831431551722,97.10704343897868,307.91006556137205,0.035664476688423,0.021623773910588,0.0,0.6248412249455514,0.5061467962146085,True,False,,"Conservative, computational support only"
