mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,cv_group,average_voltage,target,protocol,model,y_true,y_pred_oof,abs_error,capacity_grav,energy_grav,stability_worst,target_property,best_model
0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,MnPO4F,3.864972674676721,average_voltage,C_strict_post_DFT,GradientBoosting,3.864972674676721,3.4805358361556187,0.3844368385211023,,,,average_voltage,GradientBoosting
1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,MnP2O7,4.05877872905172,average_voltage,C_strict_post_DFT,GradientBoosting,4.05877872905172,4.062905778949292,0.0041270498975727,,,,average_voltage,GradientBoosting
2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,MnCSO7,4.100874681551726,average_voltage,C_strict_post_DFT,GradientBoosting,4.100874681551726,3.639904389604175,0.4609702919475511,,,,average_voltage,GradientBoosting
3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,MnPCO7,3.369558361551721,average_voltage,C_strict_post_DFT,GradientBoosting,3.369558361551721,3.2183392706576224,0.1512190908940986,,,,average_voltage,GradientBoosting
4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,Fe2(PO4)3,3.956551765301722,average_voltage,C_strict_post_DFT,GradientBoosting,3.956551765301722,3.58790530971869,0.3686464555830322,,,,average_voltage,GradientBoosting
5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,FeCSO7,3.892605436551723,average_voltage,C_strict_post_DFT,GradientBoosting,3.892605436551723,3.919320770190608,0.0267153336388852,,,,average_voltage,GradientBoosting
6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,Fe2C4SO16,3.904088337801721,average_voltage,C_strict_post_DFT,GradientBoosting,3.904088337801721,4.08179653861917,0.1777082008174493,,,,average_voltage,GradientBoosting
7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,FePCO7,3.443899664051723,average_voltage,C_strict_post_DFT,GradientBoosting,3.443899664051723,3.567662538470338,0.123762874418615,,,,average_voltage,GradientBoosting
8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,CuPO4,3.827826506551719,average_voltage,C_strict_post_DFT,GradientBoosting,3.827826506551719,3.408910504052192,0.4189160024995275,,,,average_voltage,GradientBoosting
9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,Mn3(PO4)4,3.469875774885057,average_voltage,C_strict_post_DFT,GradientBoosting,3.469875774885057,2.82825207418864,0.6416237006964174,,,,average_voltage,GradientBoosting
10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,3.611596209885063,average_voltage,C_strict_post_DFT,GradientBoosting,3.611596209885063,3.4378236903599566,0.1737725195251065,,,,average_voltage,GradientBoosting
11,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,2.745589469051722,average_voltage,C_strict_post_DFT,GradientBoosting,2.745589469051722,2.022165399170252,0.7234240698814705,,,,average_voltage,GradientBoosting
12,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,2.692695221551724,average_voltage,C_strict_post_DFT,GradientBoosting,2.692695221551724,1.923716939679422,0.7689782818723021,,,,average_voltage,GradientBoosting
13,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,MnPO4,3.387073626551728,average_voltage,C_strict_post_DFT,GradientBoosting,3.387073626551728,3.5599984720104283,0.1729248454587004,,,,average_voltage,GradientBoosting
14,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,2.681035694051722,average_voltage,C_strict_post_DFT,GradientBoosting,2.681035694051722,1.958733979588601,0.722301714463121,,,,average_voltage,GradientBoosting
15,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,MnPO4,3.297377866551716,average_voltage,C_strict_post_DFT,GradientBoosting,3.297377866551716,3.349719195710592,0.0523413291588754,,,,average_voltage,GradientBoosting
