mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,cv_group,average_voltage,target,protocol,model,y_true,y_pred_oof,abs_error,capacity_grav,energy_grav,stability_worst,target_property,best_model
0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,MnPO4F,,capacity_grav,C_strict_post_DFT,ExtraTrees,249.4468036394037,216.6163090063469,32.83049463305676,249.4468036394037,,,capacity_grav,ExtraTrees
1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,MnP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,195.018501417946,185.0987925295095,9.919708888436505,195.018501417946,,,capacity_grav,ExtraTrees
2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,MnCSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,208.58069746847025,185.069067328288,23.511630140182238,208.58069746847025,,,capacity_grav,ExtraTrees
3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,192.2027348596324,187.61709063665808,4.5856442229743095,192.2027348596324,,,capacity_grav,ExtraTrees
4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,Fe2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,219.4310432592394,164.7898742168397,54.64116904239967,219.4310432592394,,,capacity_grav,ExtraTrees
5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,FeCSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,207.847172023377,180.94125474183895,26.905917281538024,207.847172023377,,,capacity_grav,ExtraTrees
6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,Fe2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,183.03058987831173,119.79640944959652,63.234180428715206,183.03058987831173,,,capacity_grav,ExtraTrees
7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,FePCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,191.5797090750565,172.05940928610275,19.520299788953764,191.5797090750565,,,capacity_grav,ExtraTrees
8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,CuPO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,147.6607610751055,146.72894598321628,0.9318150918892344,147.6607610751055,,,capacity_grav,ExtraTrees
9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,Mn3(PO4)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,235.5697164078063,185.89521313599025,49.67450327181609,235.5697164078063,,,capacity_grav,ExtraTrees
10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,150.3489705497081,136.962130249429,13.38684030027909,150.3489705497081,,,capacity_grav,ExtraTrees
11,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,243.81248636564385,231.30892304486855,12.503563320775273,243.81248636564385,,,capacity_grav,ExtraTrees
12,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,243.81248636564385,242.8842552447019,0.9282311209419448,243.81248636564385,,,capacity_grav,ExtraTrees
13,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,MnPO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,155.01219683059955,156.18772463302298,1.1755278024234317,155.01219683059955,,,capacity_grav,ExtraTrees
14,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,243.81248636564385,242.03436418140447,1.778122184239379,243.81248636564385,,,capacity_grav,ExtraTrees
15,Na0-1MnPO4,NaMnPO4,MnPO4,phosphate_or_NASICON_like,MnPO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,155.01219683059955,157.2230084491883,2.210811618588764,155.01219683059955,,,capacity_grav,ExtraTrees
16,Na0-6Cu9(PO4)8,Na6Cu9(PO4)8,Cu9(PO4)8,phosphate_or_NASICON_like,Cu9(PO4)8,,capacity_grav,C_strict_post_DFT,ExtraTrees,109.42182510972124,108.84028687593675,0.5815382337844852,109.42182510972124,,,capacity_grav,ExtraTrees
17,Na0-8Fe7(PO4)8,Na8Fe7(PO4)8,Fe7(PO4)8,phosphate_or_NASICON_like,Fe7(PO4)8,,capacity_grav,C_strict_post_DFT,ExtraTrees,160.65577586427503,160.17872839899823,0.4770474652767973,160.65577586427503,,,capacity_grav,ExtraTrees
18,Na1-2CuP2O7,Na2CuP2O7,CuP2O7,phosphate_or_NASICON_like,CuP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,94.54823680922271,112.3539026574849,17.80566584826218,94.54823680922271,,,capacity_grav,ExtraTrees
19,Na1-2CuP2O7,Na2CuP2O7,CuP2O7,phosphate_or_NASICON_like,CuP2O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,94.54823680922271,110.66745605170392,16.119219242481208,94.54823680922271,,,capacity_grav,ExtraTrees
20,Na1-3CuCSO7,Na3CuCSO7,CuCSO7,sulfate_like,CuCSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,185.74294054510847,157.87404146569708,27.868899079411392,185.74294054510847,,,capacity_grav,ExtraTrees
21,Na1-2MnPCO7,Na2MnPCO7,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,104.73507929194264,111.09469168196776,6.35961239002512,104.73507929194264,,,capacity_grav,ExtraTrees
22,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,FePO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,154.2033123226646,154.1760281560409,0.0272841666237013,154.2033123226646,,,capacity_grav,ExtraTrees
23,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,FePO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,154.2033123226646,154.1785428978017,0.0247694248629102,154.2033123226646,,,capacity_grav,ExtraTrees
24,Na0-1FePO4,NaFePO4,FePO4,phosphate_or_NASICON_like,FePO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,154.2033123226646,153.5927285957735,0.6105837268910932,154.2033123226646,,,capacity_grav,ExtraTrees
25,Na0-1MnO2,NaMnO2,MnO2,transition_metal_oxide_like,MnO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,243.81248636564385,246.21633696046584,2.4038505948219893,243.81248636564385,,,capacity_grav,ExtraTrees
26,Na0-0.67MnPO4,Na2Mn3(PO4)3,MnPO4,phosphate_or_NASICON_like,MnPO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,108.13420055862515,105.51272532136372,2.6214752372614214,108.13420055862515,,,capacity_grav,ExtraTrees
27,Na0-0.5MnO2,NaMn2O4,MnO2,transition_metal_oxide_like,MnO2,,capacity_grav,C_strict_post_DFT,ExtraTrees,136.1424880137049,137.8588150665743,1.7163270528693886,136.1424880137049,,,capacity_grav,ExtraTrees
28,Na0-1Mn(PO3)3,NaMn(PO3)3,Mn(PO3)3,phosphate_or_NASICON_like,Mn(PO3)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,85.12630591473967,92.3733960986632,7.247090183923532,85.12630591473967,,,capacity_grav,ExtraTrees
29,Na2-3FeSiCO7,Na3FeSiCO7,FeSiCO7,silicate_like,FeSiCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,96.78898741754244,106.28987225915202,9.500884841609576,96.78898741754244,,,capacity_grav,ExtraTrees
30,Na3-6Fe2P(CO4)4,Na6Fe2P(CO4)4,Fe2P(CO4)4,phosphate_or_NASICON_like,Fe2P(CO4)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,137.5291660407657,134.92503327455552,2.6041327662101708,137.5291660407657,,,capacity_grav,ExtraTrees
31,Na4-6Mn2C4SO16,Na6Mn2C4SO16,Mn2C4SO16,sulfate_like,Mn2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,91.7995847827752,93.90164815851573,2.102063375740528,91.7995847827752,,,capacity_grav,ExtraTrees
32,Na4-6Mn2P(CO4)4,Na6Mn2P(CO4)4,Mn2P(CO4)4,phosphate_or_NASICON_like,Mn2P(CO4)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,91.97146445172773,94.4456257703428,2.47416131861506,91.97146445172773,,,capacity_grav,ExtraTrees
33,Na2-3FeBPO7,Na3FeBPO7,FeBPO7,phosphate_or_NASICON_like,FeBPO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,96.20234988805166,101.90606592513932,5.703716037087673,96.20234988805166,,,capacity_grav,ExtraTrees
34,Na2-3MnBPO7,Na3MnBPO7,MnBPO7,phosphate_or_NASICON_like,MnBPO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,96.51655586382483,97.3810671603894,0.864511296564558,96.51655586382483,,,capacity_grav,ExtraTrees
35,Na4-6Cu2C4SO16,Na6Cu2C4SO16,Cu2C4SO16,sulfate_like,Cu2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,89.17050870384884,89.43097904482946,0.2604703409806177,89.17050870384884,,,capacity_grav,ExtraTrees
36,Na2-3CuPCO7,Na3CuPCO7,CuPCO7,phosphate_or_NASICON_like,CuPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,93.22397962611988,94.00685971480526,0.7828800886853742,93.22397962611988,,,capacity_grav,ExtraTrees
37,Na0-3Ti2(PO4)3,Na3Ti2(PO4)3,Ti2(PO4)3,phosphate_or_NASICON_like,Ti2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,178.82858745608107,173.9892212323209,4.83936622376018,178.82858745608107,,,capacity_grav,ExtraTrees
38,Na0-1Mn(GeO3)2,NaMn(GeO3)2,Mn(GeO3)2,transition_metal_oxide_like,Mn(GeO3)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,83.96343139083412,90.56894067980762,6.605509288973508,83.96343139083412,,,capacity_grav,ExtraTrees
39,Na0-2Ti3Fe(PO4)6,Na2Ti3Fe(PO4)6,Ti3Fe(PO4)6,phosphate_or_NASICON_like,Ti3Fe(PO4)6,,capacity_grav,C_strict_post_DFT,ExtraTrees,65.75003780590923,64.47975348022571,1.2702843256835197,65.75003780590923,,,capacity_grav,ExtraTrees
40,Na0-9Mn21O40,Na9Mn21O40,Mn21O40,transition_metal_oxide_like,Mn21O40,,capacity_grav,C_strict_post_DFT,ExtraTrees,120.57152648054058,132.87682520745625,12.305298726915666,120.57152648054058,,,capacity_grav,ExtraTrees
41,Na2-3MnSiCO7,Na3MnSiCO7,MnSiCO7,silicate_like,MnSiCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,97.10704343897868,102.68403803499564,5.576994596016959,97.10704343897868,,,capacity_grav,ExtraTrees
42,Na1-3GePCO7,Na3GePCO7,GePCO7,phosphate_or_NASICON_like,GePCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,180.73111040163943,178.4537599641592,2.277350437480237,180.73111040163943,,,capacity_grav,ExtraTrees
43,Na0-1Fe(PO3)3,NaFe(PO3)3,Fe(PO3)3,phosphate_or_NASICON_like,Fe(PO3)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,84.88179104995677,86.2500724090912,1.3682813591344285,84.88179104995677,,,capacity_grav,ExtraTrees
44,Na0-0.5Cu3O4,Na(Cu3O4)2,Cu3O4,transition_metal_oxide_like,Cu3O4,,capacity_grav,C_strict_post_DFT,ExtraTrees,50.35402310565584,58.2361785145587,7.882155408902861,50.35402310565584,,,capacity_grav,ExtraTrees
45,Na1-3SnPCO7,Na3SnPCO7,SnPCO7,phosphate_or_NASICON_like,SnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,156.43211808080224,154.09241842468714,2.3396996561151013,156.43211808080224,,,capacity_grav,ExtraTrees
46,Na0.33-0.67FePO4,Na2Fe3(PO4)3,FePO4,phosphate_or_NASICON_like,FePO4,,capacity_grav,C_strict_post_DFT,ExtraTrees,53.771954146942406,75.0842848176482,21.31233067070579,53.771954146942406,,,capacity_grav,ExtraTrees
47,Na2-3CuBSO7,Na3CuBSO7,CuBSO7,sulfate_like,CuBSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,93.25916303902316,97.35706612794176,4.097903088918599,93.25916303902316,,,capacity_grav,ExtraTrees
48,Na2-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,50.116323516569366,69.82296414097081,19.706640624401444,50.116323516569366,,,capacity_grav,ExtraTrees
49,Na2-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,50.116323516569366,68.71775513971599,18.601431623146624,50.116323516569366,,,capacity_grav,ExtraTrees
50,Na2-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,50.116323516569366,68.09945854043497,17.9831350238656,50.116323516569366,,,capacity_grav,ExtraTrees
51,Na2-3MnBSO7,Na3MnBSO7,MnBSO7,sulfate_like,MnBSO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,96.13875669084229,99.25025333111576,3.1114966402734865,96.13875669084229,,,capacity_grav,ExtraTrees
52,Na4-6Sn2C4SO16,Na6Sn2C4SO16,Sn2C4SO16,sulfate_like,Sn2C4SO16,,capacity_grav,C_strict_post_DFT,ExtraTrees,75.34253816866574,64.90349007173182,10.439048096933917,75.34253816866574,,,capacity_grav,ExtraTrees
53,Na5-7Cu7O13,Na7Cu7O13,Cu7O13,transition_metal_oxide_like,Cu7O13,,capacity_grav,C_strict_post_DFT,ExtraTrees,65.87213608018642,101.23657497763764,35.36443889745121,65.87213608018642,,,capacity_grav,ExtraTrees
54,Na0-1CaFe2(SiO3)4,NaCaFe2(SiO3)4,CaFe2(SiO3)4,silicate_like,CaFe2(SiO3)4,,capacity_grav,C_strict_post_DFT,ExtraTrees,55.94217665626135,55.350180584798,0.5919960714633561,55.94217665626135,,,capacity_grav,ExtraTrees
55,Na0-1MgMn4O8,NaMgMn4O8,MgMn4O8,transition_metal_oxide_like,MgMn4O8,,capacity_grav,C_strict_post_DFT,ExtraTrees,67.84461150338517,77.40881595607156,9.564204452686395,67.84461150338517,,,capacity_grav,ExtraTrees
56,Na0-2MnH4(SO5)2,Na2MnH4(SO5)2,MnH4(SO5)2,sulfate_like,MnH4(SO5)2,,capacity_grav,C_strict_post_DFT,ExtraTrees,162.89062405005873,132.08504887609905,30.80557517395968,162.89062405005873,,,capacity_grav,ExtraTrees
57,Na0-3Cr2(PO4)3,Na3Cr2(PO4)3,Cr2(PO4)3,phosphate_or_NASICON_like,Cr2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,175.60325231964254,169.81199504878356,5.791257270858978,175.60325231964254,,,capacity_grav,ExtraTrees
58,Na0-3.5Cr2(PO4)3,Na7Cr4(PO4)6,Cr2(PO4)3,phosphate_or_NASICON_like,Cr2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,199.85318274074345,179.80558123458005,20.047601506163403,199.85318274074345,,,capacity_grav,ExtraTrees
59,Na0-3V2(PO4)3,Na3V2(PO4)3,V2(PO4)3,phosphate_or_NASICON_like,V2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,176.415910700775,170.9569641961882,5.458946504586777,176.415910700775,,,capacity_grav,ExtraTrees
60,Na0-1VPO5,NaVPO5,VPO5,phosphate_or_NASICON_like,VPO5,,capacity_grav,C_strict_post_DFT,ExtraTrees,144.9496306764634,138.0573054915902,6.892325184873215,144.9496306764634,,,capacity_grav,ExtraTrees
61,Na1-3CrPCO7,Na3CrPCO7,CrPCO7,phosphate_or_NASICON_like,CrPCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,194.2518696590096,190.0567594184699,4.195110240539691,194.2518696590096,,,capacity_grav,ExtraTrees
62,Na0-3V2(PO4)3,Na3V2(PO4)3,V2(PO4)3,phosphate_or_NASICON_like,V2(PO4)3,,capacity_grav,C_strict_post_DFT,ExtraTrees,176.415910700775,172.480760546095,3.935150154679974,176.415910700775,,,capacity_grav,ExtraTrees
63,Na0-1.29V2O5,Na9V14O35,V2O5,transition_metal_oxide_like,V2O5,,capacity_grav,C_strict_post_DFT,ExtraTrees,162.97450034225784,158.37869322727155,4.595807114986286,162.97450034225784,,,capacity_grav,ExtraTrees
64,Na1-3VSiCO7,Na3VSiCO7,VSiCO7,silicate_like,VSiCO7,,capacity_grav,C_strict_post_DFT,ExtraTrees,197.067679986078,164.47149177648114,32.596188209596846,197.067679986078,,,capacity_grav,ExtraTrees
65,Na0-1VPO5,NaVPO5,VPO5,phosphate_or_NASICON_like,VPO5,,capacity_grav,C_strict_post_DFT,ExtraTrees,144.9496306764634,149.53056182125084,4.580931144787428,144.9496306764634,,,capacity_grav,ExtraTrees
66,Na0-2V3O7,Na2V3O7,V3O7,transition_metal_oxide_like,V3O7,,capacity_grav,C_strict_post_DFT,ExtraTrees,172.46779322370762,156.11441661331648,16.353376610391138,172.46779322370762,,,capacity_grav,ExtraTrees
