mp_index,battery_formula,formula_discharge,framework_formula,preliminary_family,cv_group,average_voltage,target,protocol,model,y_true,y_pred_oof,abs_error,capacity_grav,energy_grav,stability_worst,target_property,best_model
0,Na0-2MnPO4F,Na2MnPO4F,MnPO4F,phosphate_or_NASICON_like,MnPO4F,,stability_worst,C_strict_post_DFT,ExtraTrees,0.035307653035705,0.0729132771501702,0.0376056241144652,,,0.035307653035705,stability_worst,ExtraTrees
1,Na0-2MnP2O7,Na2MnP2O7,MnP2O7,phosphate_or_NASICON_like,MnP2O7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.072622637499999,0.0769419551332875,0.0043193176332885,,,0.072622637499999,stability_worst,ExtraTrees
2,Na0-2MnCSO7,Na2MnCSO7,MnCSO7,sulfate_like,MnCSO7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.087316613750001,0.0687757596694205,0.0185408540805804,,,0.087316613750001,stability_worst,ExtraTrees
3,Na1-3MnPCO7,Na3MnPCO7,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.0,0.0432312365888409,0.0432312365888409,,,0.0,stability_worst,ExtraTrees
4,Na0-4Fe2(PO4)3,Na4Fe2(PO4)3,Fe2(PO4)3,phosphate_or_NASICON_like,Fe2(PO4)3,,stability_worst,C_strict_post_DFT,ExtraTrees,0.096099300980394,0.0681171763283976,0.0279821246519963,,,0.096099300980394,stability_worst,ExtraTrees
5,Na0-2FeCSO7,Na2FeCSO7,FeCSO7,sulfate_like,FeCSO7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.089343333416668,0.0785123445400794,0.0108309888765885,,,0.089343333416668,stability_worst,ExtraTrees
6,Na2-6Fe2C4SO16,Na6Fe2C4SO16,Fe2C4SO16,sulfate_like,Fe2C4SO16,,stability_worst,C_strict_post_DFT,ExtraTrees,0.083436778400001,0.0398384504014226,0.0435983279985783,,,0.083436778400001,stability_worst,ExtraTrees
7,Na1-3FePCO7,Na3FePCO7,FePCO7,phosphate_or_NASICON_like,FePCO7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.040621705954548,0.0488568315488389,0.0082351255942909,,,0.040621705954548,stability_worst,ExtraTrees
8,Na0-1CuPO4,NaCuPO4,CuPO4,phosphate_or_NASICON_like,CuPO4,,stability_worst,C_strict_post_DFT,ExtraTrees,0.027282932857144,0.0448307740409346,0.0175478411837906,,,0.027282932857144,stability_worst,ExtraTrees
9,Na0-6Mn3(PO4)4,Na6Mn3(PO4)4,Mn3(PO4)4,phosphate_or_NASICON_like,Mn3(PO4)4,,stability_worst,C_strict_post_DFT,ExtraTrees,0.094573069673917,0.0655100046108383,0.0290630650630786,,,0.094573069673917,stability_worst,ExtraTrees
10,Na1-2.5MnPCO7,Na5Mn2P2(CO7)2,MnPCO7,phosphate_or_NASICON_like,MnPCO7,,stability_worst,C_strict_post_DFT,ExtraTrees,0.019132283636364,0.0446007611575898,0.0254684775212258,,,0.019132283636364,stability_worst,ExtraTrees
