target,protocol,model,feature,importance,feature_clean
average_voltage,C_strict_post_DFT,ExtraTrees,comp__X_mean,0.07494,X mean
average_voltage,C_strict_post_DFT,ExtraTrees,comp__row_min,0.07406,row min
average_voltage,C_strict_post_DFT,ExtraTrees,comp__atomic_radius_mean,0.06547,atomic radius mean
average_voltage,C_strict_post_DFT,ExtraTrees,comp__frac_Ti,0.06412,frac Ti
average_voltage,C_strict_post_DFT,ExtraTrees,comp__atomic_radius_min,0.05971,atomic radius min
average_voltage,C_strict_post_DFT,ExtraTrees,stability_charge,0.04324,stability charge
average_voltage,C_strict_post_DFT,ExtraTrees,comp__atomic_radius_range,0.04221,atomic radius range
average_voltage,C_strict_post_DFT,ExtraTrees,comp__X_range,0.04203,X range
average_voltage,C_strict_post_DFT,ExtraTrees,comp__group_mean,0.0418,group mean
average_voltage,C_strict_post_DFT,ExtraTrees,comp__X_max,0.04038,X max
average_voltage,C_strict_post_DFT,ExtraTrees,comp__row_mean,0.032,row mean
average_voltage,C_strict_post_DFT,ExtraTrees,comp__Z_min,0.03021,Z min
average_voltage,C_strict_post_DFT,ExtraTrees,stability_discharge,0.02344,stability discharge
average_voltage,C_strict_post_DFT,ExtraTrees,comp__anion_frac,0.02099,anion frac
average_voltage,C_strict_post_DFT,ExtraTrees,comp__group_std,0.02087,group std
average_voltage,C_strict_post_DFT,ExtraTrees,comp__atomic_mass_min,0.01804,atomic mass min
average_voltage,C_strict_post_DFT,ExtraTrees,comp__Z_max,0.01519,Z max
average_voltage,C_strict_post_DFT,ExtraTrees,comp__atomic_mass_max,0.01442,atomic mass max
average_voltage,C_strict_post_DFT,ExtraTrees,fracA_discharge,0.0144,fracA discharge
average_voltage,C_strict_post_DFT,ExtraTrees,comp__frac_Na,0.01366,frac Na
capacity_grav,C_strict_post_DFT,ExtraTrees,comp__frac_Na,0.21531,frac Na
capacity_grav,C_strict_post_DFT,ExtraTrees,fracA_discharge,0.19996,fracA discharge
capacity_grav,C_strict_post_DFT,ExtraTrees,max_delta_volume,0.09042,max delta volume
capacity_grav,C_strict_post_DFT,ExtraTrees,comp__n_elements,0.06938,n elements
capacity_grav,C_strict_post_DFT,ExtraTrees,fracA_charge,0.05619,fracA charge
capacity_grav,C_strict_post_DFT,ExtraTrees,comp__group_mean,0.03537,group mean
capacity_grav,C_strict_post_DFT,ExtraTrees,comp__row_max,0.02438,row max
capacity_grav,C_strict_post_DFT,ExtraTrees,comp__group_max,0.02089,group max
